แต่ละวัน	ควรสร้างสรรค์	สิ่งแปลกใหม่	เช่นปั่นไฟ	โดยใช้เท้า	ถีบจักรยาน	Each day we should create novel things such as making electricity by riding a bicycle rapidly.
มุ่งมานะ	ไม่ประมาท	ฉลาดวิธี	ความพอดี	เลี้ยงชีวี	ได้ยาวนาน	"Aim at striving, wakefulness and keen methods and sufficiency supports life for a long time."
หาทรัพย์ไว้	ใช้เล่ห์หลอก	คดโกงเขา	จะเหมือนเงา	เฝ้าหลอกหลอน	ว่าตนชั่ว	Seeking treasures by cheating and using cunning angles is like a hunting shadow to show a person's depravity.
มองหาแต่	ข้อเสียเขา	เราเสียกาล	ควรมองด้าน	ดีของเขา	เอาอย่างเยี่ยง	It's a waste of time to look for only his short comings. We should look at his good and exemplary parts.
มองดูส่วน	ดีเขาบ้าง	อย่างแยบยล	ย่อมเสียผล	ถ้าเป็นคน	ชอบจับผิด	Partly consider his good parts wisely. Frequent finding fault with others loses good results.
คำพูดใด	ให้ข้อคิด	สะกิดใจ	บันทึกไว้	ใช้แนะนำ	ผู้อื่นบ้าง	"If some speeches are remindful and ideational, record them to be suggestions for others."
คนทำดี	มีจิตใจ	ใฝ่กุศล	มักมีคน	ที่ชั่วร้าย	หมายขัดขวาง	Immoral ones like to hinder those doing good and are merit- conscious.
คนโลภชั่ว	มักลืมตัว	ว่าตนดี	อวดศักดิ์ศรี	มีชูคอ	ออกสังคม	Wicked ones with avarice often forget themselves and think they are good. They like to show off dignity and crane their necks in the society.
อย่ากังวล	"ผลร้าย,ดี"	มีข้างหน้า	ถ้าปรารถนา	มุ่งหน้าทำ	แต่กรรมดี	Don't be apprehensive about good or bad results in the future. Go on wishing to carry out good deeds.
อย่าซ้ำคิด	ว่าชีวิต	คุ้มค่าไหม	ถ้ามุ่งใช้	ด้วยหัวใจ	ที่ใฝ่ธรรม	Don't repeat monotonous thoughts whether life is worthwhile if we intend to spend it with unceasing dharma.
ให้กรุณา	กลับตีค่า	สองไพเบี้ย	นิ่งเฉยเสีย	ค่าเฉลี่ย	พันตำลึง	Giving mercy is priced at two coins of money but keeping silently indifferent is averaged at many thousand baht.
สุขอื่นใด	ไหนจะเทียบ	ความสงบ	ช่วยหาพบ	ที่สะอาด	ปราศราคิน	Any happiness does equal serenity that also helps to find a clean place without imperfections.
ทุกเวลา	ทุกนาที	มีค่าสุด	อย่ายั้งหยุด	ปล่อยสิ่งใด	ไม่ก้าวหน้า	"Every time and minute is the worthiest, don't arrest progressive things."
บางครั้งแสร้ง	โง่เขลาได้	ความหมายมี	แสร้งท่าที	มีประสงค์	การตบตา	Sometimes it is meaningful to pretend to be silly. Simulation and fooling the eyes may be purposeful.
พูดนั้นง่าย	แต่ทำได้	ยากกี่เท่า	สรุปเอา	ว่าทำได้	อาจหมายเกิน	Saying what to do is very easy but undertaking it is many times difficult and conclusion that you can do something may go beyond possibility.
ยามทุกข์ยาก	หากขำขัน	หันหน้าสู้	ย่อมเรียนรู้	สู้กับมัน	ทันเหตุการณ์	Be humorous to fight with hardships so that we can learn how to combat them in the neck of time.
อย่าเอาใจ	ไปเกาะเกี่ยว	กับสิ่งใด	อิสระใจ	ใช้ความเลิศ	สติปัญญา	Don't let your mind cling to anything. Liberalize your heart with excellent sense and acumen.
ทุกปักษา	แสวงหา	โลกเสรี	ทำความดี	ปล่อยปักษี	อย่าขังเลย	Every bird pursues the unconfined world. Please do good by uncaging the birds.
พวกฮีโร่	ควรร่วมจิต	คิดช่วยโลก	หยุดทุกข์โศก	ทำชาวโลก	เสมอภาค	"Many heroes should share their mind to help the world, discontinue miseries and make peoples mutually equal."
เลี้ยงชีพตน	ด้วยธรรมา	ปัญญาดี	ย่อมสุขศรี	มีแต่ความ	ภูมิใจตน	Your making a living with dharma and wisdom brings about pleasance and pride.
ทำการค้า	ตรงมาไป	ไม่เอาเปรียบ	คำชมเพียบ	เปรียบประหนึ่ง	ซึ่งแบบอย่าง	Upright trades without taking advantage of others have to receive a lot of compliments because they are exemplary.
หลังคารั่ว	ฝนทลัก	มักรั่วไหล	เหมือนความใคร่	ทลักเข้าใน	ใจที่รั่ว	"The heavy fall of rain flows into the house through the leak of the roof. Similarly, a lot of desires go into the leak of the heart."
พวกนักรบ	ได้สยบ	พ่ายสตรี	เพราะโลกีย๋	เบื้องบ่างมี	อำนาจเหนือ	Many warriors are defeated by women because they are overpowered by low lust.
คนโลภมาก	สร้างวิบากกรรม	ให้ผู้อื่น	ทำชื่นมื่น	ยืนชูคอ	ดูเขาทุกข์	Covetous ones like to cause sufferings resulting from sins to others. They often crane their necks to see others troubled.
ฆ่าเวลา	เพียงเพราะว่า	ตามใจตน	ยิ่งเป็นคน	ไร้ประโยชน์	โทษสนอง	"If some kill the time for self-indulgence, they become mere worthless and receive only drawbacks."
กาลเวลา	มีค่าทด	สอบทุกสิ่ง	จริงไม่จริง	ดีไม่ดี	ต้องมีเผย	Time is worth testing everything. True or untrue and good or bad things have to be revealed.
ผลไม้	ได้มอบให้	ราชสิห์	ค่าที่มี	ย่อมถูกตี	ให้ตกไป	When the fruits are given to lions their value is lowered and thrown away.
มอบเนื้อย่าง	ให้ช้างกิน	ย่อมสิ้นค่า	ช้างจับตา	หาอ้อยกิน	ไม่สนใจ	"It is useless to give roast beef to an elephant, for it keeps looking for only sugar canes, its favorite food."
คนโลภชั่ว	เห็นแก่ตัว	น่ารักงเกียจ	เพราะชอบเบียด	เบียนผู้อื่น	ให้ขื่นขม	"Avaricious and vicious ones are selfish and loathsome, for they like to exploit others terribly."
เกลือของใคร	ให้เรากิน	ก็อย่าลืม	ดีสุดปลื้ม	ผู้ไม่ลืม	คุณของใคร	Don't forget even those who gave us some salt to eat. The most pleasant is a person who never forgets gratitude for others' help.
สิ่งดีดี	ที่ผ่านมา	อย่าเมินข้าม	สิ่งดีงาม	บันทึกไว้	ใช้เยียวยา	Don't overlook good things that you have passed. Use your recorded or kept boons as a remedy.
ฟังสิ่งใด	ใจควรเชื่อ	เพียงครึ่งหนึ่ง	ส่วนอีกครึ่ง	พึ่งการตรอง	ด้วยเหตุผล	Believe only half of what you listen to and the other half depends on logical reflection.
ใช้อธรรม	นำเลี้ยงชีพ	ได้ลาภยศ	ค่าคนหมด	เพราะลดต่ำ	กล้าทำชั่ว	Some use unrighteousness to make a living for gains and positions. A person's value has to be gone because of bravery for wickedness.
ได้สิ่งใด	ไม่ชอบธรรม	นำมาอวด	กลับยิ่งชวด	คำชื่นชม	สมศักดิ์ศรี	"If you show off unrighteous gains, you have to lose honourable compliments."
ไม่มองตน	ค้นธาตุจริง	สิ่งทั้งหลาย	หรือจะได้	มองเห็นจริง	สิ่งทั้งปวง	No self-consideration to detect the true color and various things makes many veracious things invisible.
บาดแผลใจ	บายแผลกาย	ได้รักษา	ถูกเยียวยา	โดยเวลา	ที่สร้างสรรค์	A body wound and a heart sore can be cured through creative timing.
เราอาจช้า	แต่เวลา	ไม่เคยหยุด	ถึงที่สุด	กินเอกภพ	จบทุกสิ่ง	We may be delayed but time never stops its progress until it eats up everything of the universe.
ให้ระวัง	ช่างใดใด	ไว้ใจยาก	ช่างส่วนมาก	ซ่อนหลากหลาย	อุบายลวง	Beware of many skilful workmen difficult to be trusted. Many of them hide their cheating artifice.
ในโลกนี้	มีสิ่งใด	ยึดมั่นได้	แม่ใจกาย	ยึดมั่นได้	เพียงชั่วคราว	What things can we hold fast to in the world ? Even the mind and body can be held temporarily.
ลดหวาดกลัว	ลดกังวล	ผลย่อมดี	ความกล้ามี	ดีพอสู้	ทุกปัญหา	A decrease of fears and worries has a good result. Intrepidity is good enough to solve every problem.
เร่งเวลา	แก้ปัญหา	พาผลร้าย	อาจไม่ได้	เห็นประตู	สู่ทางแก้	Speeding up time to solve a problem brings a bad outcome. The exit to a solution may not be seen.
ชั่วของใคร	อย่าเก็บไว้	ในใจเรา	ข้อเสียเขา	เราดูไว้	ไม่เอาเยี่ยง	Don't keep anyone's nefariousness in your heart. Don't imitate their drawback that we observe.
รู้อะไร	ที่ใครใคร	ไม่อาจรู้	ย่อมเป็นผู้	เปิดประตู	ความสำเร็จ	Knowing things that others don't know helps to open the door to one's success.
รักสิ่งใด	ที่ไม่ใช่	เป็นของเรา	ย่อมทุกข์เศร้า	เหมือนเราเกลียด	สี่งเราเป็น	Love of things not belonging to us naturally causes sorrow as if we hate our being.
ปรุงแต่งใจ	พุธไม่สอน	ให้ยึดมั่น	ฉันของฉัน	นั้นต้องตาย	ก่อนตายจริง	Buddhism teaches us not to be attached to dressing up the mind. And egoism has to die before our real death.
พวกอยากใหญ่	ในอำนาจ	ปีศาจร้าย	เคยทำลาย	ชีพกี่ราย	ในสงคราม	Those aspiring to be great with power are demons. They used to take many lives in wars.
ปากต่อปาก	ของลูกค้า	มาช่วยเอ่ย	คนชมเชย	ถ้าช่างดี	มีคุณธรรม	Customers can give compliments from mouth to mouth if they meet good or conscientious technicians
ฉันมุ่งหมาย	ฝังใจกาย	ใต้ไทรย้อย	ทิ้งร่องรอย	การคอยกลับ	สู่ธรรมชาติ	"I aim to be buried under the banyan tree, leaving a trace of wait for going back to the nature."
เสียเงินหรือ	ถือว่าน้อย	กว่าเวลา	สิ่งล้ำค่า	คือเวลา	พาสร้างสรรค์	A waste of time is worse than that of money. A very valuable thing is time for creativity.
ทุกเวลา	เหมือนปักษา	บินได้ไว	ควรรีบใช้	ให้เกิดค่า	ดีกว่าเมิน	Every time is like a bird flying fast. We should quickly spend it worthily. Don't avert it.
พวกประจบ	พวกสอพลอ	ก็ได้ดี	พวกไม่มี	ฝ่ายธรรมเกื้อ	มีเหลือค่า	Adulators can attain prominence. Those not supported by virtues become valueless.
ภักษาหาร	ที่เลือกทาน	ดีหรือไม่	ทานทำไม	ถ้าสิ่งใด	แฝงภัยพิษ	Consider if edibles are good or not. Don't eat them if they contain insidious bane.
อยู่ที่ใด	เป็นสุขใจ	ย่อมควรอยู่	จิตหดหู่	อยู่ที่ใด	แล้วไม่คุ้ม	Anywhere comfortable for living is deserving. Anywhere not habitable causes dismalness.
กิจของใคร	ทุ่มไม่ยล	คนทุกข์ยาก	อย่าบากหน้า	หาน้ำใจ	จากพวกนี้	Don't swallow your pride and turn towards for help from those who lavish their business but don't look at any troubled people.
วาสนา	บารมี	ได้อย่างไร	มุ่งมั่นใจ	อดทนใช้	เป็นกุญแจ	How perfection and transcendent virtues are obtained is keyed by attentiveness and forbearance.
เพิ่มความรัก	มักทำโดย	แบ่งเงินให้	จ่ายเงินไป	เพื่อใช้ค่า	ของความรัก	To divide the money and give it is often for love. Paying the money is like the cost of love.
สอนเด็กง่าย	คล้ายไม่อ่อน	ดัดไม่ยาก	สอนลำบาก	ผู้ใหญ่คล้าย	พวกไม้แก่	It's easier to teach a child than to teach an adult like altering young trees and grownup trees.
พวกคนชั่ว	แฝงตัวใน	กลุ่มคนดี	เพื่อวิธี	ต่อหน้าดี	ลับหลังชั่ว	Profligate ones can lurk behind upright people through a means of sanctimony.
ทุกปีไย	ใช้สัตว์กำ	หนดชะตา	มนุสสา	สูงกว่าสัตว์	จริงหรือไร	Why do many use animals to settle their fate for every year ? Are humans higher than animals truly?
ถ่มน้ำลาย	รดฟ้าได้	ตกใส่หน้า	สื่อสอนว่า	กรรมไม่ดี	มีผลร้าย	Spitting the saliva on the sky that falls back to one's face implies a bad deed with a bad consequence.
คนยากไร้	ที่ตะกละ	จะเป็นภัย	อย่าอยู่ใกล้	หรือให้ที่	อาศัยร่วม	Needy but greedy people will be unsafe. Don't stay close them or welcome them to live together.
คู่ชีวี	รักมากมี	ต่อกันได้	แต่อย่าหน่าย	ได้หมดรัก	พ่อแม่ตน	Love your own spouse as much as possible but don't be tired of loving your own parents.
ปราชญ์ทั่วไป	ไม่เคยหลง	พวกเมรัย	ยาเสพใด	อาวุธใด	ก็ไม่สน	"General philosophers are not absorbed in alcoholic drinks, narcotic drugs and any weapons."
เรื่องความใน	ความในใจ	ความเสียหาย	เป็นอันตราย	ถ้าได้เผย	ให้ใครทราบ	"It's disadvantageous to disclose your inside affairs, secret in mind and damage."
สิ่งได้มา	ควรรักษา	ถนอมไว้	ถ้าสิ่งใด	ยังไม่ได้	อย่าหมายโลภ	Acquired things should be cherished. But don't crave for things not obtained yet.
ความคิดดี	มีอย่างเดียว	ใช้ไม่ได้	ต้องมุ่งหมาย	ร่วมใช้ได้	กับฝีมือ	Only good ideas are not usable but they have to be employed with good mettle.
หล่อแต่รูป	จะจูบหอม	ได้อย่างไร	สวยปานใด	ถ้าไรธรรม	นำความเกลียด	One's only handsomeness should not be kissed. Only great beauty without righteousness is detestable.
อนาคต	ยังไม่หมด	สิงที่หวัง	สิ่งข้างหลัง	สูญเสียไป	ใจอย่าท้อ	The future is still not devoid of expected things. Don't be disputed with your lost things in the past.
อนาคต	เป็นปัจจุบัน	เร็ววันนี้	เลือกสิ่งดี	ทำขึ้นมา	ให้ค่าคุณ	The future will become the present time soon. Select good things and create their worth.
"สวย,หล่อรูป"	จูบไม่หอม	ย่อมมากมี	ส่วนไม่ดี	มีมากใน	ไม่มองตน	Many handsome and beautiful ones are not kissable because they never look into several bad parts of themselves.
เก็บหนังสือ	หรือจะเป็น	มงคลได้	ถ้าทำคล้าย	ได้ลบหลู่	ผู้เขียนไว้	Keeping the books of the writer whom you look down on is not auspicious or favourable.
การเรียนรู้	ย่อมมีอยู่	ตลอดไป	ก่อนสิ้นใจ	ยังให้ได้	เป็นบทเรียน	"Learning happens all the time end even before breathing one's last, a lesson can be given."
ประสบการณ์	ที่เลวร้าย	ความหมายมี	ให้ผลดี	ที่เรายอม	เรียนรู้มัน	Any dire experience is meaningful. It can give good things if we agree to learn about it.
หูตาไว	ในความผิด	ของใครใคร	แต่บอดใจ	ไม่เห็นความ	ผิดของตน	Some have keen eyes and ears with others' faults but they are blind with their own mistakes.
ยอมรับฟัง	สิ่งที่ใคร	ขอให้ฟัง	ให้ความหวัง	ใครเขาบ้าง	อย่างยืดหยุ่น	Agree to listen to things that others ask you to do. Give some hope to anyone sometimes for flexibility. 
นอนคุคคู้	อยู่ร่ำไป	บนโซฟา	เงินวิ่งมา	เป็นอาจิณ	มีที่ไหน	Money cannot run to those who lie and curl on the sofa every day.
ธุรกิจ	มิตรภาพ	ไม่ขาดกัน	ความสัมพันธ์	ประทับใจ	ไม่ควรข้าม	Business and companionship are not separated. Also impressive relationship should not be omitted.
ลั่นวาจา	แต่หาทำ	เช่นนั้นไม่	จะหาใคร	ไว้ใจ้ผู้	เป็นเช่นนั้น	Some make a promise but don't fulfil it and who can rely on people like that ?
ระหว่างทาง	เรียนมากมาย	ได้สนุก	อย่าหวังสุข	ที่ปลายทาง	เพียงอย่างเดียว	"Along the way, many amusing things can be learnt. Don't expect happiness only at your destination."
เหมาะโอกาส	คนฉลาด	รอให้มา	ใช้ปัญญา	มาผันให้	เกิดประโยชน์	Brainy ones keep waiting for good opportunities so that they can use their own intelligence to change them to be valuable.
โอกาสดี	ที่ยากหา	อย่าเมินไป	จงรีบใช้	ให้ประโยชน์	มากที่สุด	Don't turn the face away from a good and rare opportunity. Make use of it as much as possible.
เก่งและดี	มีคุณธรรม	นำแบบอย่าง	มิใช่พราง	การศึกษา	ตบตาโลก	Talent and goodness with moral principles can be a good pattern and are not camouflage to fool the eyes of the world.
สร้างวินัย	ให้ตัวเอง	ย่อมดีมาก	เพราะหายาก	ผู้ที่ไม่	ตามใจตน	Building a self-discipline is excellent. It's very rare to find those who don't have self-indulgence.
ก่อนจุดหมาย	เราอาจได้	รู้ทางลัด	เพิ่มทิวทัศน์	เห็นโลกชัด	และโลกกว้าง	Before the destination we may know any shortcut that can increase scenery with the clear and broader world.
มรสุม	รุมล้อมมา	อย่าท้อใจ	เมื่อผ่านไป	สิ่งดีใหม่	ย่อมมีมา	"Don't be discouraged by surrounding storms. After they go away, many good and new things will come."
ความจริงใจ	ความจริงจัง	หวังหายาก	เพราะส่วนมาก	ปากกับใจ	ไม่ตรงกัน	It's very distressful to seek sincerity and earnestness because most people are deceitful.
รู้ทำไม	ในหลายเรื่อง	ที่เกิดทุกข์	ใจเป็นสุข	ถ้าไม่คลุก	เรื่องเหล่านั้น	Why do you know many matters that bring miseries to you ? You can have mental happiness if you don't associate intimately with them.
ยามเสื่อมถอย	หรือก้าวหน้า	อย่าลืมเพื่อน	เขาอาจเหมือน	เพื่อนปรึกษา	ยามล้าใจ	"During your recession or progress, don't forget your friends who may be a consultant to relieve your fatigue."
ทำด้วยตน	ย่อมเป็นผล	อุบัติตาม	ไม่เสียความ	ถ้าตามดู	ความสัมฤทธิ์	Doing things by yourself can give a subsequence. It is not futile if you follow up its accomplishment.
ไม่เอางาน	ชอบมั่วสุม	ชอบซุ่มนอน	มีอาจถอน	สิ่งบั่นทอน	สู่ความเสื่อม	"If you are lazy or good for nothing, you cannot remove weakening things that bring deterioration."
เสริมสวยหน้า	สวยสง่า	อยู่หน้าร้าน	อาจปิดด้าน	มืดไม่ดี	มีข้างใน	Beautiful and graceful faces are often found only at the front of a shop. The dark and bad part may be covered inside.
งานส่วนแรก	อาจพลาดท่า	อย่าผิดหวัง	งานส่วนหลัง	อาจมีค่า	กว่าส่วนแรก	Don't be disappointed if the first part of work is a false mistake. The latter part may be worthier.
ยามทุกข์ใจ	ให้มองดู	ที่พื้นดิน	หลายทรัพย์สิน	ดินช่วยสร้าง	ขึ้นมาได้	"During your anguish, look at on the ground. Many treasures can be created by the soil."
พวกคนบ้า	สติไม่ดี	มีภัยได้	ถ้ามอบหมาย	อาวุธร้าย	ให้พวกเขา	Mad or insane ones are dangerous if harmful weapons are given to them.
โยนดอกไม้	ขึ้นฟ้าได้	ตกใส่หน้า	ชื่นอุรา	ผลกรรมดี	ย่อมศรีสุข	Throwing the flowers up to the sky and down back to the face is refreshing because of happy and good deeds!
ฝากกล้วยไว้	กับพวกลิง	ยิ่งช้ำใจ	ฝากเนื้อไว้	กับพวกหมา	พาช้ำแด	It is mentally hurtful to leave bananas with a monkey and meat with a dog.
วัฒนธรรม	ที่ใดใด	ไม่เหมือนกัน	บางที่นั้น	ไม่สร้างสรรค์	เหมือนบางที่	Cultures in places are dissimilar and somewhere they are not creative like others.
งานเลี้ยงใหญ่	แฝงอะไร	ในวงงาน	แข่งหลายด้าน	ผลาญหลายสิน	สิ้นแบบย่าง	What does a big party conceal? People compete to hold it for many purposes but waste a lot of money and lack good examples.
ทำอะไร	ไม่หวังผล	ยังดีกว่า	พวกหมดค่า	หาทำได้	สิ่งดีใด	Those who do things without any expectation are better than some that are worthless and do nothing good.
ใช้ปัญญา	มาร่วมกับ	แหล่งความรู้	และเรียนดู	หลากวิธี	ที่แยบยล	Use wisdom with the sources of knowledge and learn to see various clever methods.
พวกรอบคอบ	ชอบตรวจสอบ	และขยัน	ชอบมุ่งมั่น	งานสำคัญ	ขั้นบริหาร	"Circumspect ones like to check things, be industrious and attentive to important and administrative work."
อ่อนใจง่าย	ย่อมทำลาย	แรงศรัทธา	จิตแข็งกล้า	ย่อมนำพา	คนเชื่อใจ	Being easily downhearted naturally spoils faith but the brave or undaunted heart attracts trustworthiness.
รู้มากไป	สองไพเบี้ย	ใจเป็นทุกข์	ใจเป็นสุข	ถ้าไม่ขลุก	เรื่องบั่นทอน	Knowing too much can have only meagre worth and cause anxiety. The mind can be blissful if it's not engrossed in debilitating things.
จินตนา	อย่าเพ้อเจ้อ	เพ้อหลายหลาก	เหยื่อส่วนมาก	ยากหลุดพ้น	ปุปาทาน	Imagination should not cause confusing and foolish thoughts and talks. Most victims cannot be free from adherence to wrong beliefs.
เพื่อนมากมาย	เลือกคบได้	ถ้าเพื่อนดี	ร่วมวิถี	ควรมีการ	เพื่อกูลกัน	There are many friends but choose to associate with good ones that can join the way and symbiosis.
ตรงมาไป	ไม่คดเคี้ยว	เหมือนเส้นทาง	เป็นแบบอย่าง	บริสุทธิ์ใจ	ไร้เล่ห็เหลี่ยม	Candidness is not meandering like a route. It is an ideal of being open-minded without any cunning.
โอกาสดี	ไม่มีคอย	ใครใครได้	จงมุ่งหมาย	ได้ร่วมใช้	ให้ความรุ่ง	Any good opportunity never waits for anyone. Aim to use it mutually for glory.
ทำอย่างไร	ใจถึงสุข	ทุกข์หมดไป	แค่ทำใน	ให้ชนะ	ตนเองก่อน	"How can we make ourselves happy without any woes ? First, we only defeat ourselves."
อย่าทำเป็น	เช่นกระต่าย	ชอบตื่นตูม	ปัญญาภูมิ	ควรถูกใช้	ให้สติ	Don't behave like those who are easily frightened without rational cause. Intelligence should be used to give sensibility.
ก่อนจุดหมาย	เพื่อนมากมาย	ร่วมมรรคา	เพิ่มคุณค่า	ถ้ารู้จัก	เกื้อกูลกัน	"Before reaching the destination, many companions join the same route and it is worthier to have mutual help."
ชนปัญญา	อย่าเชื่อตาม	ความเชื่อเขลา	อย่ามัวเมา	ประเพณื	ที่งมงาย	Erudite people don't follow any inane beliefs. Don't be immersed in dogmatic ceremonies.
ข้อเท็จจริง	ควรเป็นสิ่ง	เก็บเอาไว้	เพื่อเตรียมใช้	เป็นหลักฐาน	ด้านกฎหมาย	All facts deserve keeping for preparing them as evidence by law.
ไม่คั่งค้าง	งานใดใด	ให้สับสน	ย่อมเป็นคน	ทำแยบยล	ตามหน้าที่	Being not confused and overdue with any work makes a person ingenious with his or her duty.
ไม่โกรธา	พาชนะเขา	ยามเข้าโกรธ	ความชั่วโฉด	ถูกปราบปราม	ด้วยความดี	We can use equanimity to overcome those who have much wrath. And wickedness can be suppressed by goodness.
พ้นสายตา	ยิ่งพาพ้น	จากความคิด	ไม่ฟุ้งคิด	จิตยิ่งไร้	ความไหม้หมอง	"When things are out of sight, they are out of mind. So we are not confused without sorrow."
ทรัพย์สินมี	รู้วิธี	รักษาไว้	ชะล่าใจ	ทรัพย์สูญไป	ไม่รู้ตัว	"Know good approaches to protect your properties. Without an inkling, you may lose your wealths unconsciously."
กรรมใดใด	เมื่อทำไป	สะท้อนกลับ	เตรียมใจรับ	"ผลร้าย,ดี"	ที่ตนก่อ	"Having been done, all deeds have reflective results. Make yourself ready to receive good or bad sequels from what you did."
ดูจังหวะ	และปัญญา	มาประสาน	สามรถผลาญ	ศัตรูใหญ่	ใช้กำลัง	Cementing timing and intellect can ruin a big and powerful opponent.
ตายดีกว่า	มาเป็นทาส	สิ่งใดใด	เป็นทาสใคร	ไยร้ายกว่า	การม้วยมรณ์	Decease is better than being a slave of materials. Also being enslaved by someone is worse than death.
กริยา	ที่สุภาพ	น่าซาบซึ้ง	เหตุนี้จึง	มีใช่ของ	ปองซื้อได้	Polite behavior and manners are impressive and that's why they are not affordable.
พยายาม	ตามทดลอง	อยู่เรื่อยไป	ผลที่ให้	สำเร็จได้	หลายรูปแบบ	Casual exertion of a trial can give successful result in various forms.
สิ่งต้องการ	แม้ได้มา	หาสุขไม่	เพราะจิตใจ	ไม้เคยหยุด	ความต้องการ	"Although desired things are acquired , no happiness is found. Because the mind never ceases its yearning."
การทำใจ	ตั้งสติ	มิใช่ง่าย	ทุกข์มากมาย	ใจอ่อนล้า	มาคอยขวาง	To concentrate one's mind is not easy because miseries and disheartenment try to block it.
ทำชั่วใด	ผลพิษภัย	คืนให้มา	อย่าโทสา	อย่าโทษใคร	นอกจากตน	Anyone doing evil gets calamitous retribution. Others should not be impeached and given any anger.
มุ่งต่อไป	ไม่ท้อแท้	แม้ต้องรอ	ผลดีพอ	ที่รอคือ	ความสำเร็จ	Aimfully continue without discouragement although having to wait. The outcome to be good enough is success.
ความช่วยเหลือ	เพื่อตัวเอง	ได้อย่างไร	คับแคบใจ	ไม่ช่วยใคร	ยิ่งไร้มิตร	Giving help to others should not be for oneself. Small-mindedness not to help others causes more friendlessness.
ปรุงสะอาด	ปราศจากพิษ	ชิวิตงาม	โรคลุกลาม	ตามเข่นฆ่า	ถ้ากินมั่ว	Cooking food cleanly and innocuously makes life beautiful. Eating things haphazardly causes serious or lethal diseases.
ใช้ปัญญา	เหนือศรัทธา	และความเชื่อ	อย่าเป็นเหยื่อ	พวกชอบยุ	กุเรื่องป่วน	Use wisdom above faith and belief. Don't be victimized by those who provoke and make up things confusing the city.
พุทธองค์	ทรงสอนดู	โลกความจริง	มองทุกสิ่ง	ตามความจริง	ถูกต้องแท้	Buddha teaches humans to discern the world correctly realistically and perceive all things truly and correctly.
รู้จักรอ	ดีพอสู่	ความสำเร็จ	แต่ละเคล็ด	กลเม็ด	รวบรวมไว้	Knowing how to keep waiting is good enough to proceed to success and each knack and ingenious device should be collected.
พระส่วนใหญ่	อยากใคร่ลวง	หลงวัตถุ	ที่ยั่วยุ	ให้งมงาย	ตายปัญญา	Most monks deceive people to have materialism that entices them into false beliefs.
ก่อนจุดหมาย	คบเพื่อนได้	หลายชนิด	ย่อมคิดผิด	ถึงจุดหมาย	อย่างดายเดียว	Make friends with types of people before reaching the terminus. To get to the goal alone is a misconcept.
ใครต่อใคร	เมื่อร่วมใจ	หัวเราะกัน	ฐานะนั้น	ยิ่งใกล้กัน	ลดช่องว่าง	"When many are united in mind to laugh, their status can get closer and their gaps are decreased."
เก่งและดี	ถ้ามีการ	กระทบกระทั่ง	สุดจะยั้ง	สองฝ่ายพัง	เมื่อสู้กัน	"If talented and good ones strike against each other, they may not stop their collapse through their fight."
ผู้มีธรรม	อยู่ในใจ	ใช้กำกับ	ย่อมคอยปรับ	กายและใจ	ไม่แพ้มาร	Those who have dharma to direct them can adjust themselves not to be defeated by the evils.
ช่วยคนพาล	ย่อมกลับผลาญ	ตัวเองได้	ควรมุ่งหมาย	ช่วยคนดี	ที่สร้างสรรค์	Those who help troublesome ones may reversely destroy themselves. They should aim to help good and constructive ones.
ปลาไหลใหญ่	หลุดมือไป	โทษใครเล่า	ถ้าไม่เฝ้า	ผลประโยชน์	ควรโทษตน	"Who will be blamed if a big eel slips from the hand ? If you don't keep your interests, you should blame yourself."
ความริษยา	ถือว่าเป็น	เช่นมารร้าย	การทำลาย	แฝงมาได้	หลายรูปแบบ	An ill-will is considered as the evil that can conceal annihilation in various forms.
การตกงาน	มิได้ผลาญ	ภูมิปัญญา	เปิดหูตา	หางานใหม่	ที่ท้าทาย	Unemployment doesn't mean destroying your intelligence. Open your mind and eyes to pursue a new challenging job.
รักโลกา	เปิดหูตา	เยียวยาใจ	ท่องเรียนไกล	เปิดใจสู่	ความรู้กว้าง	"Love the world, keep yourself knowledgeable, remedy your heart, travel for education and open your mind to extensive comprehension."
ต้นไม้ตาย	เหลือมากมาย	สิ่งประโยชน์	คุณหรือโทษ	คนทิ้งไว้	ให้เยี่ยงย่าง	"When the trees die, many useful things are left. But people leave favours or harm after their decease."
โขคชะตา	หามีใคร	มากำหนด	ชีพทั้งหมด	กำหนดได้	ด้วยใจตน	The fortune is mot fixed by anyone. All life is determined by oneself.
หลงกระแส	แห่ตามก้น	เขาทำไม	ปัญญาใช้	ให้เป็นตัว	ของตัวเอง	Don't be lost in following the shadow of others. Use your wisdom to be yourself.
หวังต่อไป	อย่าท้อใจ	แม่ผิดพลาด	ผลตามคาด	ปรารถนา	ได้ดั่งใจ	Continue your hope and don't be discouraged although making a mistake the fruitage can be desired or wished.
อยู่เดียวดาย	ได้ผลจาก	ชอบหลอกลวง	ผบกรรมหน่วง	นำใครใคร	ให้เกลียดหน้า	Being all alone can be derived from dupery. The retribution induces others to detest the bad conduct.
เจ้าปัญญา	มีปัญหา	ความทุกข์ได้	แต่มุ่งหมาย	ไม่สิ้นหวัง	ดั่งคนอื่น	An idea person can have a problem and unhappiness but can be hopeful not hopeless like others.
ความสะอาด	ความสงบ	ยากพบหา	เกือบทุกหล้า	ไม่รักษา	สิ่งแวดล้อม	It's very rare to find a cleansed and tranquil place. Almost every zone lacks environment protection. 
