แต่ละวัน,ควรสร้างสรรค์,สิ่งแปลกใหม่,เช่นปั่นไฟ,โดยใช้เท้า,ถีบจักรยาน
ปรุงสะอาด,ปราศจากพิษ,ชิวิตงาม,โรคลุกลาม,ตามเข่นฆ่า,ถ้ากินมั่ว
ใช้ปัญญา,เหนือศรัทธา,และความเชื่อ,อย่าเป็นเหยื่อ,พวกชอบยุ,กุเรื่องป่วน
พุทธองค์,ทรงสอนดู,โลกความจริง,มองทุกสิ่ง,ตามความจริง,ถูกต้องแท้
รู้จักรอ,ดีพอสู่,ความสำเร็จ,แต่ละเคล็ด,กลเม็ด,รวบรวมไว้
พระส่วนใหญ่,อยากใคร่ลวง,หลงวัตถุ,ที่ยั่วยุ,ให้งมงาย,ตายปัญญา
ก่อนจุดหมาย,คบเพื่อนได้,หลายชนิด,ย่อมคิดผิด,ถึงจุดหมาย,อย่างดายเดียว
ใครต่อใคร,เมื่อร่วมใจ,หัวเราะกัน,ฐานะนั้น,ยิ่งใกล้กัน,ลดช่องว่าง
เก่งและดี,ถ้ามีการ,กระทบกระทั่ง,สุดจะยั้ง,สองฝ่ายพัง,เมื่อสู้กัน
ผู้มีธรรม,อยู่ในใจ,ใช้กำกับ,ย่อมคอยปรับ,กายและใจ,ไม่แพ้มาร
ช่วยคนพาล,ย่อมกลับผลาญ,ตัวเองได้,ควรมุ่งหมาย,ช่วยคนดี,ที่สร้างสรรค์
ปลาไหลใหญ่,หลุดมือไป,โทษใครเล่า,ถ้าไม่เฝ้า,ผลประโยชน์,ควรโทษตน
ความริษยา,ถือว่าเป็น,เช่นมารร้าย,การทำลาย,แฝงมาได้,หลายรูปแบบ
การตกงาน,มิได้ผลาญ,ภูมิปัญญา,เปิดหูตา,หางานใหม่,ที่ท้าทาย
รักโลกา,เปิดหูตา,เยียวยาใจ,ท่องเรียนไกล,เปิดใจสู่,ความรู้กว้าง
ต้นไม้ตาย,เหลือมากมาย,สิ่งประโยชน์,คุณหรือโทษ,คนทิ้งไว้,ให้เยี่ยงย่าง
โขคชะตา,หามีใคร,มากำหนด,ชีพทั้งหมด,กำหนดได้,ด้วยใจตน
หลงกระแส,แห่ตามก้น,เขาทำไม,ปัญญาใช้,ให้เป็นตัว,ของตัวเอง
หวังต่อไป,อย่าท้อใจ,แม่ผิดพลาด,ผลตามคาด,ปรารถนา,ได้ดั่งใจ
อยู่เดียวดาย,ได้ผลจาก,ชอบหลอกลวง,ผบกรรมหน่วง,นำใครใคร,ให้เกลียดหน้า
เจ้าปัญญา,มีปัญหา,ความทุกข์ได้,แต่มุ่งหมาย,ไม่สิ้นหวัง,ดั่งคนอื่น
ความสะอาด,ความสงบ,ยากพบหา,เกือบทุกหล้า,ไม่รักษา,สิ่งแวดล้อม
รักใดใด,ไหนจะเทียบ,รักโลกา,กว้างหูตา,พารู้สิ่ง,ดีมากมาย
ยิ่งเอาใจ,ยิ่งทำให้,ลูกเสียคน,จึงไม่พ้น,เรื่องพ่อแม่,รังแกฉัน
เค็ม หวาน มัน,นั้นเป็นภัย,หลอกให้กิน,ยิ่งแดดิ้น,ถ้ายิ่งกิน,ภักษามาร
สัจธรรม,ในคำคม,สอนอะไร,เพื่อเตือนใจ,ใช้สติ,วิจารณญาณ
ยามรุ่งโรจน์,เป็นความโปรด,ของใครใคร,ทุกข์ผ่านไป,ควรเตือนไว้,ไม่ลืมตัว
ฝากวัวไว้,ให้กับเสือ,ช่วยดูแล,ฝากเพชรแท้,กับแม่บ้าน,ชอบเล่นไพ่
นยิ่งขี้เหนียว,เดี๋ยวยิ่งไร้,ญาติและเพื่อน,ดูบ้านเรือน,เหมือนถ้ำมืด,ใครจะมา
พวกมั่งมี,ดีที่หา,มิตรได้ไว,พวกยากไร้,หาเท่าใด,ยิ่งไม่เจอ
มายาหญิง,เป็นสิ่งเรียน,รู้ไม่ง่าย,หลายผู้ชาย,เรียนกลับพ่าย,เล่ห์มารยา
อาวไนย,ปราชญ์ท่านใด,สอนได้เล่า,อย่าสอนเต่า,ให้วิ่งได้,คล้ายตุ่นเลย
ยามรู้ว่า,เราไม่รู้,เป็นครูได้,สื้อความหมาย,ได้เตือนให้,ใฝ่ศึกษา
พวกอกหัก,มักเขลามาก,ยากเยียวยา,เหมือนบอดตา,จึงไม่หา,สิ่งให้คุณ
ควรประหยัด,โดยวิธี,ที่สร้างสรรค์,จัดแบ่งปัน,ด้วยปัญญา,อย่าประมาท
เที่ยววอนไหว้,ล้วนมุ่งหมาย,ได้สมอยาก,ตัณหามาก,หลากกิเลส,ยิ่งห่างธรรม
ยามวิกฤต,ปิดหนทาง,อย่างอับจน,อาจส่งผล,คนพบทาง,สร้างประโยชน์
ความประมาท,เพียงน้อยนิด,จิตทุกข์ได้,และบางราย,วอดวายได้,เพราะสะเพร่า
พวกเกียจคร้าน,ย่อมต้านทาน,ความสุขได้,ยากมุ่งหมาย,ได้พัฒนา,ความสามารถ
ผลขี้เกียจ,เบียดเบียนตน,ให้ตกต่ำ,ดูผลกรรม,สูงหรือต่ำ,ก็เพราะตน
ผลขยัน,ผลักดันให้,คนก้าวหน้า,คนมีค่า,ถ้ามุ่งมั่น,เพียรทำงาน
งานใดใด,ไม่จริงจัง,อย่าหวังผล,กลับอับจน,มีหลายคน,ดูถูกได้
อ้างบุญญา,สารพัน,มีจริงไหม,ปรุงแต่งใจ,ยิ่งไม่พ้น,โลกมายา
คำตอบง่าย,พบได้ใน,ทุกปัญหา,ทางนานา,อาจช่วยหา,ทางออกได้
สู้กี่ครา,ในชีวา,กลับผิดหวัง,คนพิการยัง,ไม่หมดหวัง,สู้ได้ดี
ความมัธยัสถ์,จัดให้มี,ดีรายได้,ทรัพย์มากมาย,ออมไว้จ่าย,เมื่อจำเป็น
จุลินทรีย์,มีมากมาย,มองไม่เห็น,โรคลำเค็ญ,จึงพรางตา,มาเบียดเรา
หาเพื่อนใหม่,เปลี่ยนเพื่อนใหม่,ไปช้าช้า,กาลเวลา,ช่วยเสาะหา,เพื่อนที่ดี
โลกกว้างใหญ่,ฝึกนิสัย,ให้เรียนรู้,ช่วยตรวจดู,ความแตกต่าง,อย่างเข้าใจ
ติดตะข่าย,ของความรัก,มักบอดใจ,รักที่ใด,ทุกข์ที่นั่นๆ,ยังรั้นหา
มีไมตรี,เพราะวจี,มีน้ำใจ,ตรงมาไป,ล้วนทำให้,ใจเป็นสุข
ความมุ่งมั่น,ความตั้งใจ,อาจไร้ผล,จงแยบยล,อย่าหวังผล,สูงเกินไป
หนวกใดใด,ไม่เท่าผู้,ไม่ยอมฟัง,แม้พูดดัง,ก็ยังทำ,หูทวนลม
มุ่งศึกษา,วิชาการ,เลิศเข้าไว้,รู้หรือไม่,ในสิ่งเบียด,เบียนโลกเรา
เงินเป็นนาย,บงการได้,ทั้งดี ชั่ว,ถ้าลืมตัว,มันรับใช้,ในทางเอว
รับสิ่งใหม่,ให้โอกาส,ใหม่มีบ้าง,เปิดใจกว้าง,หวังหลายอย่าง,ในโลกใหญ่
ลองเลือกทาง,อย่างที่เป็น,ไปได้สุด,และอย่าหยุด,ลองทางใหม่,ให้สมหวัง
การหัวเราะ,สะเดาะทุกข์,สนุกดี,ช่วยให้มี,สุขภาพดี,มีวัยยืน
รู้อะไร,ให้ประโยชน์,แก่ตนได้,จงมุ่งหมาย,ได้ลงมือ,กระทำเร็ว
คนจริงใจ,ให้ผลดี,มีมิตรมาก,แม้ทุกข์ยาก,คนหลายหลาก,ก็อยากคบ
ความมานะ,จะช่วยให้,พ้นทุกข์ได้,ช่วยขยาย,ผลของงาน,ต้านสร้างสรรค์
พวกเงินทอง,ของนอกกาย,นั้นก็จริง,ควรเป็นสิ่ง,เก็บเซฟไว้,ใช้ยามยาก
โลกมายา,มีมานาน,หลายล้านปี,ยากจะมี,ผู้รู้ดี,เท่าทันได้
ดื่มสุรา,เพราะหาทาง,ออกที่ผิด,ยิ่งเสพติด,คอยปลิดชีพ,ของตัวเอง
ถ้าประชา,ยึดอัตตา,พาเกียจคร้าน,เลวหลายด้าน,ยิ่งผลาญชาติ,ให้ล่มจม
ชนปัญญา,หาได้ร่วม,แก้ปัญหา,ทุกแหล่งหล้า,ขยะมา,เพิ่มทับถม
เรื่องส่วนตน,อย่าเอาปน,เรื่องของงาน,อาจเสียการ,งานส่วนใหญ่,ไม่ก้าวหน้า
อย่าเผลอใจ,ไปช่วยเหลือ,คนชั่วใด,ผลของภัย,ต้องย้อนมา,พาเสียหาย
รักดีหามจั่ว,รักชั่วหามเสา,เฝ้าเตือนใจ,แต่ทำไม,ใครต่อใคร,พ่ายภัยตน
ละลายง่าย,ได้ทุกที่,คือน้ำตาล,รักที่หวาน,ละลายได้,ง่ายเช่นกัน
เปลืองสินทรัพย์,กับเปลืองกาย,ได้อย่างไร,ถ้าทุ่มใจ,ทำสิ่งใด,กไร้คุณค่า
รู้จักใคร,ต่อใครได้,หลายเหตุผล,ไม่รู้จักตน,ย่อมเป็นคน,ที่น่ากลัว
หลงวัตถุ,ที่กุขึ้น,จึงงมงาย,เหยื่อมากมาย,หรือจะหมาย,อิสรา
ออมรายได้,มุ่งหมายใช้,อย่างประหยัด,เก็บและจัด,สร้างกำไร,ให้เพิ่มพูน
วาเลนไทน์,ได้แต่สอน,เดินตามกัน,ยิ่งปลุกปั่น,คนมากล้น,จนโลกโทรม
ค่าของคน,ค้นที่ใด,ไหนบอกมา,ที่ปัญญา,และการฆ่า,ฉันของฉัน
ไฟความอยาก,ยิ่งลามไป,ภัยยิ่งมา,ยิ่งนำพา,ทุกข์นานา,สู่ผู้โลภ
การทำจริง,เป็นสิ่งช่วย,สมาธิ,เพลินสติ,ช่วยริเริ่ม,สิ่งใหม่
ผู้ชอบให้,ใครต่อใคร,ให้รักตอบ,ผลกรรมตอบ,เป็นผู้รับ,ทรัพย์น้ำใจ
ความบากบั่น,ความมั่นคง,ให้กับตน,ช่วยเป็นคน,หนักเอา,เบาก็สู้
พวกวัวควาย,ให้มากมาย,สิ่งมีค่า,ช่วยทำนา,เป็นพาหะ,ขนสิ่งของ
สันติภาพ,นกพิราบ,เรียกร้องมา,อิสรา,ทุกปักษา,สื่อเช่นกัน
เย็นเป็นสุข,ร้อนกลับทุกข์,บั่นทอนใจ,ทุกข์ปานไหน,ถ้าเอาใจ,ยึดถือมั่น
ทำอะไร,ไม่เต็มเม็ด,ไม่เต็มหน่วย,หรือจะช่วย,สร้างผลงาน,ทุกด้านดี
ยิ่งชรา,น่าจะสร้าง,แบบอย่างดี,สิ่งราคี,ไม่มีค่า,ไม่น่าทำ
ปรุงแต่งจิต,ยิ่งคิดผิด,ติดมายา,เอาศรัทธา,เหนือปัญญา,อยู่ร่ำไป
เสพสุรา,ย่อมเหมือนฆ่า,ตัวเองได้,ถ้ามุ่งหมาย,เสพปัญญา,คุ้มค่าเกิน
พุทธองค์,ทรงสอนเน้น,ความว่างเปล่า,ทุกหมู่ดาว,แยกดับไป,ในความว่าง
การเยียวยา,ทั้นเวลา,มีค่ามาก,แต่ถ้าหาก,กันล่วงหน้า,ดีกว่าไหม
ความเอื้อเฟื้อ,เผื่อแผ่กัน,นั้นหายาก,มีค่ามาก,เหมือนสุวรรณ,มุ่งมั่นหา
คบช้าช้า,พิจารณา,เลือกคบไว้,ลับคมใน,เพื่อนใดมี,ควรเลือกคบ
กามฉันท์,นั้นเกิดเพราะ,มัวเมารัก,ไม่ประจักษ์,รักหมกไหม้,ไฟเผาทรวง
ทุกปักษี,รักเสรี,ท่องโลกไป,พวกแคบใจ,จับขังไว้,ใช้บำเรอ
ผู้ดเรียนรู้,มาเท่าใด,ให้ผลได้,แม้สูญหาย,แต่ได้เก็บ,เกี่ยวไว้มาก
เป็นผู้ให้,ไม่ควรเป็น,แต่ผู้ขอ,แม้ไม่รอ,สิ่งใหม่ดี,ย่อมมีมา
ควรใจกล้า,เปลี่ยนแปลงใหม่,ให้เหมาะดี,เพื่อชีวี,วิถีใหม่,ให้เราลอง
ไม้คดมี,สิ่งดีใช้,หลายประโยชน์,มีแต่โทษ,คือพวกที,มีใจคด
วาทะศิลป์,ย่อมกินใจ,ให้ซาบซึ้ง,โน้มน้าวดึง,เสียงส่วนใหญ่,ให้ศรัทธา
อุตสาหะ,วิริยะ,อันแรงกล้า,ช่วยนำพา,การลุงาน,ด้านสร้างสรรค์
เห็นลูกลูก,ทำตำตา,อย่าเพิ่งเชื่อ,สิ่งซ่อนเหลือ,เมื่อลูกลูก,พ้นสายตา
วิญญาณผีมันไม่มี,ที่ใดหรอก,ผลูกฝังบอก,ต่อกันมา,หาจริงไม่,หรือเกิดมา
หรือเกิดมา,สิ่งนานา,หล่อหลอมจิต,ปรุงแต่งคิด,หลงนิมิต,อุปาทาน
พวกคนชั่ว,เห็นแก่ตัว,มาครองโลก,เพิ่มทุกข์โศกย์,ให้โลกา,พาใกล้วาย
มือไม่พาย,หมายมุ่งเอา,เท้าราน้ำ,มิยอมตาม,เสียงส่วนใหญ่,ส่อใจแคบ
ศีลมีไว้,ย่อมทำใจ,ให้สะอาด,พฤติปราศ,สิ่งราคี,ที่มัวหมอง
คนส่วนใหญ่,ไม่อาจคุม,อารมณ์ได้,สัตว์มากมาย,กลับทำได้,อย่างน่าทึ่ง
บัณฑิตดี,ไม่มีการ,ไหวหวั่นใจ,มีสิ่งใด,กระทบใจ,ก็สงบ
ความเข้าใจ,นั้นไม่ยาก,หากตรองดู,ยากสุดกู่,คือเข้าใจ,ให้หลุดพ้น
จินตนา,เพ้อฝันไป,ไร้ผลดี,ยิ่งหลบหนี,ตัวเองไกล,ค้นไม่เจอ
ชนปัญญา,เห็นเวลา,มีค่ายิ่ง,ทำทุกสิ่ง,คุ้มเวลา,พาสร้างสรรค์
กำลังใจ,สร้างตน,ได้อย่าหวั่น,จงมุ่งมั่น,อย่าบั่นทอน,จิตนิ่งเย็น
ล้วนผ่านมา,แล้วผ่านไป,ในไม่ช้า,อย่าโศกา,อย่าปรีดี,กับสิ่งใด
เซลล์อินทรีย์,มีแต่ตาย,ไปทุกครา,จนชรา,เซลล์สลาย,กายเปื่อยเน่า
พวกหมกมุ่น,ครุ่นคิดอยู่,กับตัวเอง,ยิ่งคว้างเคว้ง,ถูกดึงไป,ในความมืด
ควรตาไว,และหูไว,ไม่ประมาท,คิดฉลาด,จมูกไว,ใช้พิสูจน์กลิ่น
ปรารถนา,หาวิธี,ที่ผิดพลาด,ทุกข์เกินคาด,อาจนำสู่,ความล้อมเหลว
ทุกความจริง,ย่อมเป็นจริง,เสมอไป,แม้พวกใด,ใช้หลายสี,ทาแปดเปื้อน
ไร้แก่นสาร,สาระแท้,มีแต่บ่วง,มายากลวง,ลวงยึดมั่น,หมอกเมฆา
คลานเสียก่อน,จึงค่อยสอน,การเดินได้,ก่อนสบาย,ลำบากก่อน,สอนหลายอย่าง
ก่อนทำงาน,เรียนหลายด้าน,ให้ดีก่อน,บทเรียนสอน,ท้าทายผู้,ใฝ่รู้โลก
ปากอย่างหนึ่ง,ใจอย่างหนึ่ง,หลอกซึ้งได้,คนมากมาย,กลายเป็นเหยื่อ,หลงคารม
พวกใจคด,หมดคุณค่า,ความเป็นคน,ทำลายผล,ดีใดใด,ในการงาน
จับไขว่คว้า,มายึดมั่น,ได้จริงไหม,ล้วนแปรไป,สู้ความว่าง,ทุกอย่างเอย
ความอุดม,สมบูรณ์ก่อ,ความโลภได้,ยิ่งกระหาย,แม้ได้มา,อย่างมั่งมี
ควรเข้มแข็ง,แกร่งในสู้,ด้วยใจกล้า,ยอมฟันฝ่า,ทุกสิ่งขวาง,อย่างสมใจ
ไม่เริ่มใหม่,ใจทนสิ่ง,ซ้ำซากเก่า,ไม่ยอมเอา,การเปลี่ยนใหม่,ให้ฉีกแนว
เพื่อนที่ดี,เหมือนมาลี,เราถนอม,ควรออมชอม,ถนอมใจ,กันและกัน
ทั้งกิเลส,และปัญญา,รบฆ่ากัน,ทั้งสองนั้น,เหมือนน้ำไฟ,ไม่อาจร่วม
ไม่ลืมกัน,นั้นคือรัก,ใจต่อใจ,ให้อภัย,รู้ปรับใจ,ให้เข้ากัน
ทุกชีวา,สร้างคุณค่า,ได้อย่างไร,อยู่ที่ใช้,กาลเวลา,สร้างค่าคุณ
เกิดกิเลส,เหตุแห่งทุกข์,เจ็บนักหนา,ใช้ปัญญา,ฆ่าสมุทัย,ให้ตายเถิด
ใครต่อใคร,มีทุกข์ยาก,มากกว่าเรา,อย่าทุกข์เศร้า,เปลี่ยนใจเรา,ให้สร้างสรรค์
อ่อนแอใจ,ไม่ชอบการ,เริ่มต้นใหม่,เพาะนิสัย,ในการอ้าง,ความไม่พร้อม
พระเจ้าไย,ทิ้งให้โลก,อยู่เดียวดาย,และอย่าหมาย,ได้พบเพื่อน,ในอวกาศ
คบผู้รู้,พาไปสู้,ภูมิปัญญา,คบพ่อค้า,ร่วมกันหา,กินกำไร
ถ้าซึ้งใจ,ในสัจจา,องค์พุทธสอน,พ้นนิวรณ์,โลกมายา,อัตาลวง
ทำผลีผลาม,ผลตามมา,คือเดือดร้อน,พึงสังวรณื,อย่ารีบร้อน,งานที่ทำ
ความดีเป็น,เช่นมิตรแท้,ติดตามเรา,เป็นเหมือนเงา,คอยบอกเรา,ให้ภูมิใจ
ความว่างเปล่า,จากอัตตา,อย่าลืมแล,องค์พุทธแท้,ทรงสอนไว้,ให้สว่าง
สิ่งใดใด,ไม่ยึดมั่น,ได้สักอย่าง,อย่าเคว้งคว้าง,กลางโลกลวง,แห่งมายา
อย่าเสกสรรค์,ปั้นความคิด,ให้เหมือนกัน,ทุกชีวัน,นั้นย่อมคิด,ต่างกันๆไป
ชาติเดียวกัน,กลับห้ำหั่น,ฆ่ากันตาย,น่าอับอาย,เพราะลายชาติ,จับตาดู
คนส่วนใหญ่,โง่หลงไหล,สิ่งหลอกล่อ,หลงคำยอ,ส่อแย่งยศ,และศักดิ์ใหญ่
เลิศสติ,เลิศปัญญา,พาเหนือโลก,มิทุกข์โศก,แบกใต้โลก,หนักอุรา
เห็นแก่ตัว,เป็นมารชั่ว,ที่ร้ายสุด,ถ้ารั้งหยุด,โลกย่อมดุจ,ดั่งสวรรค์
บุคคลดี,มีน้ำใจ,ไยหายาก,คนส่วนมาก,อยากกระหาย,ได้เพื่อตน
เหตุผลดี,หรือไม่ดี,อยู่ที่ใจ,และส่วนใหญ่,ยังคงใช้,ในขั้นหยาบ
เข้าอยู่นี่,เข้าอยู่นั่น,นั้นไม่นาน,เวลาผ่าน,เหลือความว่าง,อย่างไร้เงา
เสาหลักใหญ่,ในใจลูก,คือพ่อแม่,ประเสริฐพอ,มีประคุณ,ขุนลูกหลาน
พวกนักปราชญ์,บริหาร,งานยิ่งดี,ผลยิ่งมี,ดึงคนดี,มาร่วมงาน
ดวงชะตา,กุขึ้นมา,ตามความเชื่อ,อย่าเป็นเหยื่อ,เอาความเชื่อ,เหนือปัญญา
เกิดปัญหา,ปัญญาเกิด,เกิดผลดี,อย่าหน่ายหนี,เรียนวิธี,แก้ปัญหา
ศาสนาดี,ย่อมมีสอน,ให้ใจกว้าง,ความแตกต่าง,ทางความคิด,ยอมรับได้
พุทธปัญญา,หาได้เป็น,ศาสนา,เป็นสัจจา,มีมาพร้อม,กำเนิดโลก
ใช้ความคิด,ติดตามแก้,นิสัยตน,กับผู้คน,ใช้จิตใจ,ไปประสาน
เจ้าปัญญา,ชอบพูดน้อย,คอยสังเกต,เจ้ากิเลส,ชอบพูดมาก,อยากนี่นั่น
นับถือกัน,ช่วยสร้างสรรค์,ฐารความรัก,ให้แน่นหนัก,รักร่วมฝ่า,ฟันขวากหนาม
กล่าวสิ่งใด,ถูกต้องไว้,เหมาะเวลา,น้อยวาจา,แต่ว่าคม,ครอบคลุมดี
กิเลสนำ,ใจทั้งผอง,ถูกจองจำ,ปัญญานำ,เย็นสงบ,พบสุขแท้
ราชสีห์,ที่ร้ายโหด,โฉดอำนาจ,กลับยิ่งปราศ,ค่าใดใด,ไปเทียบลา
กำลังใจ,ให้ผู้อื่น,น่าชื่นใจ,เลิกนิสัย,ชอบไปถ่วง,ผู้อื่นเถอด
พวกนกน้อย,คอยสร้างรัง,แต่พอตัว,ถ้าเมามัว,สร้างเกินตัว,ไปไม่ไหว
สร้างศรัทธา,ครอบปัญญา,กันมากมาย,ฆ่ากันตาย,อย่างมากมาย,เพราะศรัทธา
ความตายนั้น,มันไม่มี,ตายที่หมาย,อินทรีย์กาย,แยกสลาย,หมดหน้าที่
ชั่วทีละน้อย,คอยสะสม,เพิ่มทุกที,เพิ่มทวี,ยิ่งมีสิ่ง,ทำลายตน
เพื่อนที่ดี,มีแต่ชวน,ให้สรรค์สร้าง,เป็นแบบอย่าง,บนเส้นทาง,สู่โลกสูง
สหายดี,หามีไม่,ในหมู่พาล,เป็นไม่นาน,ก็แปรพักตร์,หักหลังกัน
ล้วนทุกข์ทน,ล้วนดิ้นรน,เพื่ออะไร,ล่วนเดินไป,สู่ความว่าง,กลางสุญญตา
ใช้จ่ายมาก,หลากหลายหนี้,ยิ่งมีมา,หลายโรคา,ยิ่งตามมา,ถ้ากินมาก
มอบหมายใคร,ให้ทำงาน,เหมาะสมไหม,งานมอบให้,เข้ากันไหม,ให้ดูก่อน
ใช้ปัญญา,เหนือศรัทธา,และความเชื่อ,อย่าเป็นเหยื่อ,พวกงมงาย,หมายหลอกกิน
ไว้ใจทาง,วางใจคน,ส่งผลร้าย,มีหลายราย,ไว้ใจตน,ผลร้ายกว่า
ระวังทอง,เป็นของร้อน,อันราย,มีหลายราย,บาดเจ็บตาย,ก็เพราะทอง
คบคนเลว,พลอยเลวตาม,หมดความดี,อเวจี,ยิ่งมากมี,สุมในใจ
อย่าเดียวดาย,ได้กินของ,ที่อร่อย,จงปลดปล่อย,ความตระหนี่,ที่ขังเรา
ปรุงแต่งใจ,มากเท่าใด,ให้ผลร้าย,ยิ่งงมงาย,ไม่ได้เห็น,พุทธองค์
โลกมายา,ยากหาคน,เข้าใจได้,ล้วนงมงาย,กลายเป็นทาส,ของความเชื่อ
ความเป็นจริง,เช่นยอดเพชร,เทพสูงสุด,สอนชนหยุด,ปรุงแต่งใจ,ไม่เพ้อฝัน
คำแนะนำ,เน้นย้ำให้,ผู้อื่นได้,แต่อย่าหมาย,ได้ตัดสิน,ชีวิตเขา
ถ้าถ่อมตน,จนเกินไป,ก็ไม่ดี,เพราะอาจมี,คนนินทา,ว่าเสแสร้ง
เปลี่ยนแปลงโลก,ย่อมไม่ได้,ตายหมายคิด,มุ่งทำจิต,เปลี่ยนนิสัย,ให้ทันโลก
เห็ดสีสวย,ทำคนม้วย,ร้ายปานใด,สมุนไพร,ไม่สวยใส,ไยเป็นยา
อารมณ์ขัน,ปันประโยชน์,ให้ร่างกาย,ช่วยผ่อนคลาย,ไม่ตึงเครียด,ไม่เบียดตน
เริ่มวันนี้,คือชีวี,ที่เริ่มใหม่,พรุ่งนี้ใย,คืบคลานไว,เป็นอดีต
ทุกร่างกาย,ได้เพราะบ่ม,ความทุกข์มา,ส่วนกายา,แต่ละส่วน,ชวนสังเวช
อยู่ร่วมกัน,ปันการเกื้อ,กันและกัน,ความสุขสันต์,สามัคคี,ยิ่งมีมา
ผู้ยิ่งใหญ่,ใจย่อมกล้า,ได้กล้าเสีย,ไม่ละเหี่ย,เพลียใจต่อ,สิ่งกระทบ
เป็นแบบอย่าง,ที่ดีได้,สมหมายแน่,อย่าเป็นแค่,ช่างตำหนิ,วิจารณ์เขา
ความมืดมัว,ครอบไปทั้ว,แดนพุทธไทย,เพราะมีใจ,มองไม่ซึ้ง,ถึงแก่นธรรม
ชนปัญญา,หาได้หลง,สิ่งยั่วยวน,ใจไม่ป่วน,โดยสิ่งยวน,เข้าโลกีย์
ที่ใดใด,ควรทำใจ,สมดุลย์ดี,สติมี,สมาธิดี,เลิศปัญญา
รวยหรือจน,ค่าของคน,คือการปัน,ไม่กีดกั้น,ให้สิ่งปัน,ด้วยน้ำใจ
ยู่ใกล้พาล,หรือภัยพาล,ผลาญความสุข,เสพแต่ทุกข์,เพราะศัตรู,อยู่ชิดใกล้
ทั้งกระท่อม,และกญชา,พาเสพติด,หลายชีวิต,เจอวิกฤต,เพราะเสพมัน
มะเร็งร้าย,ทำลายคน,นับไม่ถ่วน,ส่วนใหญ่ล้วน,กินสิ่งใด,ภัยแฝงอยู่
ทุกพนา,สุดล้ำค่า,มีพระคุณ,พวกเนรคุณ,ยิ่งรุกล้ำ,คอยทำลาย
ธรรมเนียมใด,ไร้เหตุผล,จนมัวเมา,อย่านำเอา,เผยแพร่ไป,ให้ลูกหลาน
อารมณ์ขำ,อารมณ์ดี,มีประโยชน์,กำจัดโทษ,ทางใจกาย,ได้หลายอย่าง
ดูทำไม,ถ้สิ่งใด,ไร้สาระ,เลือกผัสสะ,ให้สาระ,จะดีกว่า
คบพวกปราชญ์,ไม่พลาดกลิ่น,กฤษณา,กลิ่นหอมพา,ใครใครมา,คบหาด้วย
ลูกทั้งหลาย,พ่อแม่หมาย,ให้สูงกว่า,เสมอค่า,อย่าแย่กว่า,แม่และพ่อ
มาอย่างไร,ไปอย่างนั้น,ทุกชีวี,ทั้งเศรษฐี,ทั้งยากจน,ไร้ตนจริง
ทำความดี,หวังสิ่งได้,ความหมายลบ,ย่อมเกลื่อนกลบ,ผลกรรมดี,ที่ทำไว้
แข่งกับใคร,ไปทำไม,ให้ชักช้า,รวมปัญญา,มาแข่งกับ,ตัวเองก่อน
สร้างนิสัย,ชอบแก้ไข,พวกปัญหา,ย่อมดีกว่า,เที่ยวตอกย้ำ,ซ้ำเติมเหตุ
เราอย่าเป็น,ตัวปัญหา,น่าเบื่อเลย,น่าชมเชย,ถ้าแน่วแน่,แก้ปัญหา
ถ้าช่วยได้,จงหมายช่วย,เขาสักครา,ยังดีกว่า,พวกทำร้าย,ไม่หมายช่วย
ทุกร่างกาย,มีมากมาย,แหล่งของเสีย,น่าละเหี่ย,ของเน่าเสีย,มีทุกส่วน
การกล้าหาญ,พร้อมปัญญา,พาสู้ชัย,กลับเป็นภัย,กล้าบ้าบิ่น,พาหมิ่นเหม่
คำเยินยอ,ส่อว่าคน,อยากกระหาย,คนมากมาย,ลืมตัวได้,อยากสรรเสริญ
ศพคนตาย,ถูกแต่งกาย,แต่งกน้าตา,ปิดกายา,หาได้เห็น,สิ่งสังวรณ์
ดึงสิ่งดี,ที่สุดของ,ตนออกมา,หลังต้นหา,บ่มออกมา,สร้างสรรค์ได้
เมื่อได้เห็น,เมื่อได้ยิน,สันความรู้,จะเป็นผู้,มุ่งเข้าใจ,ใฝ่ประยุกต์
อิสรา,หลายชีวา,หามีไม่,ถูกล่ามไว้,ให้ผู้ติด,กับหลายสิ่ง
ใช้ปัญญา,บริหารเวลา,ดีเมื่อใด,ช่วยปลดใจ,ให้เสรี,มีการพัก
ชนะใจ,ภัยตัวเอง,น่าทึ่งไหม,ย่อมมีชัย,ในทุกอย่าง,ที่ขวางหน้า
เดินตามหลัง,ราชสีห์,ดีกว่าไหม,ค่าตกไป,ถ้าไปเดิน,ตามหลังหมา
ทุ่มศรัทธา,พางมงาย,ตายปัญญา,ควรสร้างค่า,ปัญญาชน,เหตุผลจริง
ตระเวนไป,หลายดารา,หามีไม่,ที่อยู่ใหม่,พออาศัย,ไหนจะมี
ถ้าราชา,ใช้แก่นธรรม,นำประชา,ชาตินานา,ย่อมหันมา,สรรเสริญ
พรหมจรรย์,นั้นมีได้,ทุกเพศวัย,ล้วนที่ใจ,ไม่ก่อไฟ,ของโลกีย์
คุมกำเนิด,อย่าเพลิดเพลิน,เพิ่มลูกหลาน,ควรสงสาร,โลกเรานี้,ที่ป่วยหนัก
